layer,pair,kl_10,kl_40,kl_70,kl_100,category
first,"(37, 55)",0.0014207166595271727,0.0025500476681140373,0.003335005800423482,0.00440245584215382,Stable
first,"(14, 62)",0.0013203028520740077,0.003939031874795027,0.004526631420251891,0.0055221909725369535,Stable
first,"(46, 51)",0.0032851191085960137,0.0039547953369082475,0.004150949379355658,0.004820615776182762,Stable
first,"(38, 47)",0.003944444635914026,0.004169241105361324,0.004345792150172233,0.0053979526221183596,Stable
first,"(18, 59)",0.001712327988932368,0.003505196279198598,0.0038400113421869306,0.004312773746178198,Stable
first,"(8, 24)",0.0016878450898294346,0.0024679662340771572,0.0026793362817056914,0.0030819372032121657,Stable
first,"(27, 46)",0.0033603804905837347,0.004788316064279667,0.004982168592689955,0.0051741056689563955,Stable
first,"(30, 42)",0.0010091210793933948,0.00314669445219488,0.0032876852985806587,0.004540721008837558,Stable
first,"(19, 51)",0.0017284313390333512,0.0032967065275080745,0.003681294903327854,0.004905163964810107,Stable
first,"(0, 47)",0.0016453528033334155,0.002759499576487749,0.0034116775666242233,0.004346756806738759,Stable
first,"(41, 48)",0.0032660462775231046,0.0052444015003477095,0.00604962385520691,0.009344366559999729,Stable
first,"(41, 57)",0.004018250298529818,0.007985406868001022,0.00847730442537517,0.01808442651901354,Increasing Damage
first,"(25, 49)",0.001643724016545662,0.00323653179749327,0.0037795728793371232,0.004790810188146542,Stable
first,"(25, 58)",0.0011372246097926418,0.0029044349955090485,0.0030768092184012786,0.003867906747022032,Stable
first,"(22, 43)",0.0013651159339817468,0.0021390423683149565,0.0022375297003584325,0.0024391157308332185,Stable
first,"(22, 52)",0.0015613046162819453,0.002264969285022578,0.0023350253557738025,0.00244546044288105,Stable
